License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
404R-00200,SR COLORADO LLC,Shift Refinery,Retail Marijuana Products Mfg,"9690 Dallas Street, Units I & J",Henderson,80640,2025-05-01
404R-00071,SR HOLDING COMPANY LLC,None,Retail Marijuana Products Mfg,4502 North Washington Street,Denver,80216,2025-05-01
404R-00182,STARBUDS MIPS LLC,None,Retail Marijuana Products Mfg,"9670 Dallas Street, Units 5 & 6",Henderson,80640,2025-05-01
404R-00170,STAYCON LLC,Craft,Retail Marijuana Products Mfg,869 East Industrial Boulevard,Pueblo West,81007,2025-05-01
404R-00554,STRAIN 16 LTD,STRAIN 16 LTD,Retail Marijuana Products Mfg,4805 North Kingston Street #105,Denver,80239,2025-05-01
404R-00392,SUNSHINE EXTRACTS LLC,Sunshine,Retail Marijuana Products Mfg,7183 Arapahoe Road Unit A,Boulder,80303,2025-05-01
404R-00050,SUSTAINABLE HEALTH LLC,14er Infusions,Retail Marijuana Products Mfg,"1840 Commerce Street, Unit F",Boulder,80301,2025-05-01
404R-00282,SYLS LLC,Strawberry Fields,Retail Marijuana Products Mfg,2285 North Interstate 25,Pueblo,81008,2025-05-01
404R-00528,TAMALPAIS PARTNERS LLC,Blue Fox Brands ,Retail Marijuana Products Mfg,35715 US Highway 40 D205-206,Evergreen,80439,2025-05-01
404R-00417,TEXCO PRODUCTS LLC,Dune Dab Company,Retail Marijuana Products Mfg,800 South Reigel Court,Moffat,81143,2025-05-01
404R-00560,THE CANNABIS PIONEERS LLC,None,Retail Marijuana Products Mfg,12001 East 33rd Avenue Unit J,Aurora,80010,2025-05-01
404R-00572,THE EPIC REMEDY LLC,None,Retail Marijuana Products Mfg,2565 Weston Road,Colorado Springs,80910,2025-05-01
404R-00311,THE FLOWER COLLECTIVE LTD,TFC,Retail Marijuana Products Mfg,91 Big Springs Drive,Nederland,80466,2025-05-01
404R-00480,THE GREEN BUILDING LLC,None,Retail Marijuana Products Mfg,1397 South Cherokee Street,Denver,80223,2025-05-01
404R-00573,THE HEALING CANNA LLC,TERP LABS,Retail Marijuana Products Mfg,3330 Drennan Industrial Loop South,Colorado Springs,80910,2025-05-01
404R-00063,THE ORGANIC SEED LLC,DabTek,Retail Marijuana Products Mfg,41 North Precision Drive,Pueblo West,81007,2025-05-01
404R-00274,THOMASH LLC,Alchemy Food Co,Retail Marijuana Products Mfg,"2340 West 2nd Avenue, Suite 120",Denver,80223,2025-05-01
404R-00531,TKN INDUSTRIES LLC,The Trichome Collective,Retail Marijuana Products Mfg,35715 Highway 40 Suite D105,Evergreen,80439,2025-05-01
404R-00551,TRAIL SNAX LLC,TRAIL SNAX CO,Retail Marijuana Products Mfg,315 East 1st Street Suite B,Parachute,81635,2025-05-01
404R-00555,TRUE HEALTH COMPLEX LLC,C'est la vie Coffee,Retail Marijuana Products Mfg,4805 North Kingston Street Suite 102,Denver,80239,2025-05-01
404R-00030,TUMBLEWEED STEAMBOAT LLC,RK Enterprises,Retail Marijuana Products Mfg,2673 Jacob Circle Unit 200,Steamboat Springs,80487,2025-05-01
404R-00361,TY WEBB ENTERPRISES LLC,None,Retail Marijuana Products Mfg,9792 East Hanover Court,Henderson,80640,2025-05-01
404R-00256,URBANE DEVELOPERS LLC,Cherry,Retail Marijuana Products Mfg,2191 South Jason Street,Denver,80223,2025-05-01
404R-00271,VENTURE PRODUCT CONSULTING LLC,Rize,Retail Marijuana Products Mfg,"4242 North Elizabeth Street, Unit 2",Denver,80216,2025-05-01
404R-00440,VERV LLC,Dadirri,Retail Marijuana Products Mfg,3988 North Ulster Street,Denver,80207,2025-05-01
404R-00237,VIOLA INC,Viola's Extracts,Retail Marijuana Products Mfg,4645 North Joliet Street,Denver,80239,2025-05-01
404R-00519,WALSENBURG CANNABIS LLC,None,Retail Marijuana Products Mfg,7891 Tamarack Lane,Ordway,81063,2025-05-01
404R-00218,WEST EDISON INC,West Edison Cannabis Concentrates,Retail Marijuana Products Mfg,"462 North Laredo Street, Unit D and E",Aurora,80011,2025-05-01
404R-00446,WLCO LLC,WHT LBL,Retail Marijuana Products Mfg,8401 Baseline Road,Boulder,80303,2025-05-01
404R-00016,WM CONCENTRATES LLC,None,Retail Marijuana Products Mfg,5124 North Havana Street ,Denver,80239,2025-05-01
404R-00327,WONDERLAND EDIBLES LTD,Wonderland Edibles,Retail Marijuana Products Mfg,"5475 North Peoria Street, Unit 4-109",Denver,80239,2025-05-01
404R-00523,WORKHORSE GLOBAL LLC,None,Retail Marijuana Products Mfg,1910 South Cherokee Street ,Denver,80223,2025-05-01
404R-00206,WPJJ LLC,Eureka Vapor,Retail Marijuana Products Mfg,2190 South Jason Street,Denver,80223,2025-05-01
404R-00370,XLNY LLC,Made in Xiaolin,Retail Marijuana Products Mfg,"35715 US Highway 40, Unit D303",Evergreen,80439,2025-05-01
404R-00277,YETI FARMS LLC,Yeti Farms LLC,Retail Marijuana Products Mfg,1650 Siloam Road,Pueblo,81005,2025-05-01
404R-00503,YUMA WAY LLC,None,Retail Marijuana Products Mfg,1232 South Bannock Street,Denver,80223,2025-05-01
